"tt0031381","Drama,History,Romance"
"tt0033467","Drama,Mystery"
"tt0035423","Comedy,Fantasy,Romance"
"tt0050083","Drama"
"tt0068646","Crime,Drama"
"tt0071562","Crime,Drama"
"tt0076276","Adventure,Comedy,Drama"
"tt0078935","Adventure,Horror"
"tt0079285","Adventure,Horror,Sci-Fi"
"tt0079579","Comedy,Drama,Romance"
"tt0080310","Drama,History,War"
"tt0080319","Comedy"
"tt0080339","Comedy"
"tt0080354","Horror,Sci-Fi,Thriller"
"tt0080360","Horror,Sci-Fi,Thriller"
"tt0080365","Crime,Drama,Mystery"
"tt0080377","Action,Comedy"
"tt0080388","Crime,Drama,Romance"
"tt0080408","Drama,Mystery,Thriller"
"tt0080421","Action,Adventure,Sci-Fi"
"tt0080437","Drama,War"
"tt0080439","Comedy,Romance"
"tt0080453","Adventure,Drama,Romance"
"tt0080455","Adventure,Comedy,Crime"
"tt0080472","Action,Adventure,Comedy"
"tt0080474","Crime,Drama"
"tt0080487","Comedy,Sport"
"tt0080516","Horror"
"tt0080520","Comedy,Crime,Sci-Fi"
"tt0080539","Comedy,Drama,Fantasy"
"tt0080549","Biography,Drama,Music"
"tt0080569","Crime,Drama,Mystery"
"tt0080610","Drama,Romance,War"
"tt0080641","Action,Adventure,Drama"
"tt0080661","Mystery,Thriller"
"tt0080678","Biography,Drama"
"tt0080684","Action,Adventure,Fantasy"
"tt0080716","Drama,Music,Musical"
"tt0080736","Action,Sci-Fi"
"tt0080745","Action,Adventure,Sci-Fi"
"tt0080749","Horror,Thriller"
"tt0080761","Horror,Mystery,Thriller"
"tt0080798","Crime,Drama,Thriller"
"tt0080801","Comedy"
"tt0080855","Adventure,Drama,Western"
"tt0080889","Adventure,Comedy"
"tt0080904","Horror,Sci-Fi"
"tt0080923","Horror"
"tt0080931","Horror,Sci-Fi,Thriller"
"tt0080979","Drama,History,War"
"tt0081059","Biography,Drama,History"
"tt0081070","Crime,Drama,Mystery"
"tt0081071","Biography,Crime,Western"
"tt0081114","Drama,Horror,Thriller"
"tt0081163","Crime,Mystery,Thriller"
"tt0081184","Comedy,Horror,Thriller"
"tt0081207","Comedy,Drama,Family"
"tt0081237","Comedy,Drama,Horror"
"tt0081283","Drama"
"tt0081318","Horror"
"tt0081353","Adventure,Comedy,Family"
"tt0081375","Comedy,War"
"tt0081383","Horror,Thriller"
"tt0081398","Biography,Drama,Sport"
"tt0081455","Horror,Sci-Fi,Thriller"
"tt0081480","Comedy,Romance"
"tt0081499","Action,Adventure,Comedy"
"tt0081505","Drama,Horror"
"tt0081506","Action,Adventure"
"tt0081529","Action,Comedy"
"tt0081534","Drama,Fantasy,Romance"
"tt0081554","Comedy,Drama"
"tt0081562","Comedy,Crime"
"tt0081568","Action,Comedy,Drama"
"tt0081573","Action,Adventure,Sci-Fi"
"tt0081590","Comedy"
"tt0081617","Horror,Thriller"
"tt0081633","Adventure,Comedy,Fantasy"
"tt0081696","Drama,Romance,Western"
"tt0081698","Comedy"
"tt0081748","Biography,Comedy"
"tt0081777","Fantasy,Musical,Romance"
"tt0081974","Drama,Romance,Thriller"
"tt0082010","Comedy,Horror"
"tt0082031","Comedy,Romance"
"tt0082045","Action,Comedy"
"tt0082085","Mystery,Thriller"
"tt0082089","Crime,Drama,Romance"
"tt0082096","Adventure,Drama,Thriller"
"tt0082100","Comedy,Drama,Romance"
"tt0082118","Horror"
"tt0082136","Action,Comedy,Sport"
"tt0082146","Comedy,Romance"
"tt0082158","Biography,Drama,Sport"
"tt0082163","Comedy,Crime"
"tt0082176","Biography,Drama"
"tt0082183","Adventure,Comedy,Crime"
"tt0082186","Action,Adventure,Family"
"tt0082198","Adventure,Fantasy"
"tt0082242","Horror,Mystery"
"tt0082247","Action,Adventure,Crime"
"tt0082250","Action,Crime,Drama"
"tt0082269","Thriller"
"tt0082288","Action,Adventure,Fantasy"
"tt0082307","Horror"
"tt0082329","Drama,Romance"
"tt0082334","Drama,Horror"
"tt0082340","Action,Adventure,Sci-Fi"
"tt0082348","Adventure,Drama,Fantasy"
"tt0082351","Romance,Thriller,War"
"tt0082370","Drama,Romance"
"tt0082377","Horror"
"tt0082398","Action,Adventure,Thriller"
"tt0082402","Crime,Drama"
"tt0082406","Adventure,Animation,Drama"
"tt0082416","Drama,Romance"
"tt0082418","Horror,Mystery,Thriller"
"tt0082427","Horror"
"tt0082431","Action,Adventure,Horror"
"tt0082432","Adventure,Drama,History"
"tt0082449","Drama,Horror,Thriller"
"tt0082474","Adventure,Comedy,Crime"
"tt0082477","Comedy,Drama,Romance"
"tt0082484","Adventure,Drama,History"
"tt0082495","Horror"
"tt0082497","Drama,Horror,Thriller"
"tt0082498","Horror,Mystery,Thriller"
"tt0082509","Adventure,Animation,Fantasy"
"tt0082511","Horror,Thriller"
"tt0082517","Comedy,History"
"tt0082533","Horror"
"tt0082694","Action,Adventure,Sci-Fi"
"tt0082700","Adventure,Horror"
"tt0082736","Drama"
"tt0082748","Horror,Mystery,Thriller"
"tt0082766","Biography,Drama"
"tt0082776","Crime,Drama,Thriller"
"tt0082782","Horror,Mystery,Thriller"
"tt0082783","Biography,Comedy,Drama"
"tt0082801","Comedy"
"tt0082817","Action,Crime,Thriller"
"tt0082846","Drama"
"tt0082869","Action,Crime,Sci-Fi"
"tt0082912","Crime,Drama"
"tt0082924","Action,Comedy,Fantasy"
"tt0082926","Comedy"
"tt0082933","Drama,Horror"
"tt0082934","Crime,Drama,Romance"
"tt0082945","Crime,Drama"
"tt0082949","Action,Crime,Drama"
"tt0082951","Horror,Mystery,Thriller"
"tt0082966","Horror"
"tt0082970","Drama"
"tt0082971","Action,Adventure"
"tt0082979","Biography,Drama,History"
"tt0083015","Comedy,Drama"
"tt0083089","Comedy,Drama,Romance"
"tt0083109","Comedy,Sci-Fi"
"tt0083111","Action,Thriller"
"tt0083131","Comedy,War"
"tt0083169","Drama"
"tt0083190","Action,Crime,Drama"
"tt0083232","Crime,Drama"
"tt0083284","Drama,Sport,War"
"tt0083336","Horror,Thriller"
"tt0083511","Action,Comedy,Crime"
"tt0083530","Comedy,Sci-Fi"
"tt0083550","Horror"
"tt0083564","Comedy,Drama,Family"
"tt0083624","Comedy,Horror"
"tt0083630","Action,Adventure,Fantasy"
"tt0083642","Comedy,Musical"
"tt0083658","Sci-Fi,Thriller"
"tt0083678","Crime,Drama"
"tt0083702","Documentary"
"tt0083722","Fantasy,Horror,Thriller"
"tt0083739","Action,Crime,Drama"
"tt0083767","Comedy,Fantasy,Horror"
"tt0083789","Biography,Drama,History"
"tt0083791","Adventure,Family,Fantasy"
"tt0083798","Comedy,Crime,Mystery"
"tt0083806","Comedy,Crime,Mystery"
"tt0083833","Comedy,Drama"
"tt0083851","Comedy,Drama,History"
"tt0083866","Family,Sci-Fi"
"tt0083869","Comedy,Crime"
"tt0083907","Horror"
"tt0083908","Drama,Mystery"
"tt0083922","Drama"
"tt0083929","Comedy,Drama"
"tt0083943","Action,Adventure,Thriller"
"tt0083944","Action,Adventure"
"tt0083946","Adventure,Drama"
"tt0083967","Biography,Drama,Romance"
"tt0083972","Horror,Thriller"
"tt0083987","Biography,Drama,History"
"tt0083996","Adventure,Comedy,Crime"
"tt0084021","Comedy,Drama,Musical"
"tt0084088","Comedy,Drama,Music"
"tt0084234","Comedy,Drama,Romance"
"tt0084237","Adventure,Animation,Drama"
"tt0084296","Adventure,Drama,Family"
"tt0084302","Comedy,Drama"
"tt0084329","Comedy"
"tt0084335","Biography,Drama,History"
"tt0084352","Comedy,Documentary,Musical"
"tt0084370","Comedy,Drama"
"tt0084390","Drama"
"tt0084412","Comedy"
"tt0084434","Drama,Romance"
"tt0084488","Comedy,Drama"
"tt0084503","Animation,Drama,Fantasy"
"tt0084509","Adventure,Animation,Drama"
"tt0084516","Horror,Thriller"
"tt0084522","Comedy"
"tt0084549","Drama"
"tt0084555","Comedy"
"tt0084556","Crime,Horror,Mystery"
